time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
3637	-0.335153	0.348249	0.943007	-19.814	-0.848	-3.768	-0.411929	0.078424	-0.31324
3638	-0.345287	0.359691	0.971929	-16.861	-0.721	-4.189	-0.42879	0.077703	-0.317429
3639	-0.355775	0.3739	1.008547	-14.081	-0.603	-3.364	-0.442871	0.0771	-0.320793
3640	-0.368003	0.387097	1.043402	-11.99	-0.513	-2.769	-0.454861	0.076587	-0.323562
3641	-0.380937	0.400732	1.080272	-13.424	-0.574	-2.996	-0.468285	0.076013	-0.326558
3642	-0.394581	0.414759	1.119166	-9.874	-1.15	-2.142	-0.478159	0.074863	-0.3287
3643	-0.41391	0.429942	1.174301	-12.045	-0.511	-2.524	-0.490204	0.074352	-0.331224
3644	-0.430368	0.445783	1.221217	-15.612	-0.662	-3.142	-0.505816	0.07369	-0.334366
3645	-0.444107	0.458627	1.2604	-26.583	-1.126	-5.668	-0.532399	0.072564	-0.340034
3646	-0.455811	0.469264	1.293763	-16.398	-0.695	-2.881	-0.548797	0.071869	-0.342915
3647	-0.468905	0.480881	1.331115	-9.28	-0.393	-1.561	-0.558077	0.071476	-0.344476
3648	-0.476361	0.489224	1.358591	-4.286	-0.182	-0.703	-0.562363	0.071294	-0.345179
3649	-0.48812	0.499157	1.392109	-1.877	-0.079	0.338	-0.56424	0.071215	-0.344841
3650	-0.503377	0.511619	1.435551	-3.515	-1.531	-0.576	-0.567755	0.069684	-0.345417
3651	-0.529341	0.53383	1.509522	-9.185	-3.129	-1.462	-0.57694	0.066555	-0.346879
3652	-0.545366	0.545664	1.55515	-9.94	-2.445	-1.519	-0.58688	0.06411	-0.348398
3653	-0.554421	0.552187	1.580975	-14.279	-1.906	-2.072	-0.601159	0.062204	-0.35047
3654	-0.55861	0.555132	1.592901	-17.937	-0.679	-2.424	-0.619096	0.061525	-0.352894
3655	-0.560436	0.554502	1.598125	-14.317	-1.869	-1.808	-0.633413	0.059656	-0.354702
3656	-0.559727	0.556912	1.607907	-13.662	-0.505	-1.609	-0.647075	0.059151	-0.356311
3657	-0.560451	0.563102	1.633475	-24.454	-1.554	-2.615	-0.671529	0.057597	-0.358926
3658	-0.564094	0.569595	1.661135	-22.104	-2.725	-3.292	-0.693633	0.054872	-0.362218
3659	-0.574111	0.578626	1.700877	-21.623	-2.654	-6.579	-0.715256	0.052218	-0.368797
3660	-0.591881	0.589392	1.750788	-12.645	-1.056	-3.275	-0.727901	0.051162	-0.372072
3661	-0.602056	0.597663	1.790633	-4.573	-1.399	-0.89	-0.732474	0.049763	-0.372962
3662	-0.615624	0.605151	1.828649	-3.614	-0.119	-0.217	-0.736088	0.049644	-0.373179
3663	-0.637935	0.617838	1.896699	0	0	0	-0.736088	0.049644	-0.373179
3664	-0.654166	0.632022	1.958206	0	0	0	-0.736088	0.049644	-0.373179
3665	-0.67006	0.655978	2.018382	-2.634	0.533	0.445	-0.738722	0.050177	-0.372734
3666	-0.680854	0.668269	2.05357	-8.697	0.327	-0.481	-0.747419	0.050504	-0.373215
3667	-0.681697	0.671827	2.066296	-9.401	-0.317	-0.474	-0.75682	0.050187	-0.373689
3668	-0.685331	0.673184	2.076353	-11.574	-0.391	-0.515	-0.768394	0.049796	-0.374204
3669	-0.685327	0.673194	2.076353	-10.833	-0.968	-0.414	-0.779227	0.048828	-0.374618
3670	-0.685327	0.673194	2.076353	-8.685	-0.29	-0.283	-0.787912	0.048538	-0.374901
3671	-0.689833	0.672387	2.083683	-5.067	-0.169	-0.146	-0.792979	0.048369	-0.375047
3672	-0.700415	0.675527	2.107882	-1.448	-0.048	-0.039	-0.794427	0.048321	-0.375086
3673	-0.70983	0.678833	2.134044	-9.989	0.26	-1.4	-0.804416	0.048581	-0.376486
3674	-0.721437	0.682635	2.16625	-9.946	0.254	-4.235	-0.814362	0.048835	-0.380721
3675	-0.730466	0.686055	2.196401	-4.147	-0.142	-4.106	-0.818509	0.048693	-0.384827
3676	-0.739187	0.688599	2.220567	-1.291	-0.044	-1.17	-0.8198	0.048649	-0.385997
3677	-0.74426	0.690067	2.234669	-0.283	-0.01	-0.581	-0.820083	0.048639	-0.386578
3678	-0.745714	0.690466	2.238697	-2.172	-0.074	-0.015	-0.822255	0.048565	-0.386593
3679	-0.757521	0.696635	2.266493	-5.049	-0.756	-0.024	-0.827304	0.047809	-0.386617
3680	-0.769262	0.711281	2.294171	-7.965	-0.268	-0.008	-0.835269	0.047541	-0.386625
3681	-0.773453	0.724326	2.3057	-11.586	-0.391	0.052	-0.846855	0.04715	-0.386573
3682	-0.774745	0.728087	2.309291	-11.565	-0.961	0.128	-0.85842	0.046189	-0.386445
3683	-0.775038	0.729866	2.310078	-14.48	-0.483	0.265	-0.8729	0.045706	-0.38618
3684	-0.777214	0.730333	2.316123	-10.134	-0.337	0.257	-0.883034	0.045369	-0.385923
3685	-0.780508	0.731414	2.330174	-6.496	-0.774	0.195	-0.88953	0.044595	-0.385728
3686	-0.788496	0.732992	2.352338	0	0	0	-0.88953	0.044595	-0.385728
3687	-0.800091	0.735167	2.384581	-0.018	0.557	0	-0.889548	0.045152	-0.385728
3688	-0.809978	0.737041	2.416764	0	0	0	-0.889548	0.045152	-0.385728
3689	-0.824479	0.739166	2.457064	0	0	0	-0.889548	0.045152	-0.385728
3690	-0.834655	0.740376	2.485264	2.217	-0.485	-2.884	-0.887331	0.044667	-0.388612
3691	-0.839478	0.741121	2.503344	13.216	0.435	-7.174	-0.874115	0.045102	-0.395786
3692	-0.839478	0.741121	2.503344	14.343	0.472	-4.904	-0.859772	0.045574	-0.40069
3693	-0.841173	0.741125	2.503394	16.092	-0.047	-1.419	-0.84368	0.045527	-0.402109
3694	-0.841173	0.741125	2.503394	15.206	0.494	-0.127	-0.828474	0.046021	-0.402236
3695	-0.841173	0.741125	2.503394	15.206	0.494	0.003	-0.813268	0.046515	-0.402233
3696	-0.83727	0.749343	2.497223	14.192	0.461	-0.466	-0.799076	0.046976	-0.402699
3697	-0.82406	0.768076	2.460432	36.053	1.172	1.997	-0.763023	0.048148	-0.400702
3698	-0.809641	0.77999	2.420522	37.618	1.222	1.643	-0.725405	0.04937	-0.399059
3699	-0.791806	0.780901	2.375731	33.964	1.104	2.17	-0.691441	0.050474	-0.396889
3700	-0.776498	0.778319	2.333418	28.869	0.938	2.359	-0.662572	0.051412	-0.39453
3701	-0.761231	0.77523	2.291096	18.022	0.586	1.713	-0.64455	0.051998	-0.392817
3702	-0.746944	0.773866	2.251606	15.844	0.514	1.66	-0.628706	0.052512	-0.391157
3703	-0.710708	0.76068	2.151275	15.11	0.491	1.717	-0.613596	0.053003	-0.38944
3704	-0.672835	0.748438	2.0466	15.094	0.491	1.846	-0.598502	0.053494	-0.387594
3705	-0.638719	0.735085	1.952076	20.632	5.474	5.964	-0.57787	0.058968	-0.38163
3706	-0.609918	0.72122	1.871747	21.137	11.174	11.549	-0.556733	0.070142	-0.370081
3707	-0.604039	0.673558	1.818993	21.858	10.066	5.569	-0.534875	0.080208	-0.364512
3708	-0.592123	0.647042	1.774968	29.975	9.295	4.764	-0.5049	0.089503	-0.359748
3709	-0.022972	1.134309	1.773389	38.478	4.179	8.345	-0.466422	0.093682	-0.351403
3710	-0.024387	1.099047	1.73047	39.39	5.073	8.808	-0.427032	0.098755	-0.342595
3711	0.272737	0.82365	1.72865	46.908	4.856	11.721	-0.380124	0.103611	-0.330874
3712	0.233093	0.777969	1.666507	59.298	5.676	17.499	-0.320826	0.109287	-0.313375
3713	0.19609	0.750397	1.602194	50.234	4.482	16.005	-0.270592	0.113769	-0.29737
3714	0.159553	0.720431	1.514068	51.863	2.989	18.248	-0.218729	0.116758	-0.279122
3715	0.135758	0.675408	1.400936	47.113	1.005	17.376	-0.171616	0.117763	-0.261746
3716	0.109458	0.621763	1.285134	44.378	0.774	16.952	-0.127238	0.118537	-0.244794
3717	0.011945	0.428284	1.167758	35.561	0.214	12.697	-0.091677	0.118751	-0.232097
3718	-0.009864	0.353876	0.990306	34.569	-3.506	9.818	-0.057108	0.115245	-0.222279
3719	-0.21914	0.106411	0.81498	32.542	-3.777	10.324	-0.024566	0.111468	-0.211955
3720	-0.19868	0.07749	0.664398	33.803	-0.161	8.519	0.009237	0.111307	-0.203436
3721	-0.175056	0.049009	0.52762	28.147	1.39	0.412	0.037384	0.112697	-0.203024
3722	-0.152175	0.020206	0.398768	20.129	0.994	-7.019	0.057513	0.113691	-0.210043
3723	-0.132781	-0.000071	0.295509	21.28	0.093	-6.318	0.078793	0.113784	-0.216361
3724	-0.095797	-0.014601	0.195137	22.405	0.13	-0.562	0.101198	0.113914	-0.216923
3725	-0.064144	-0.023049	0.101869	23.532	0.166	5.358	0.12473	0.11408	-0.211565
3726	-0.001045	-0.000763	0.002535	30.933	1.49	13.669	0.155663	0.11557	-0.197896
3727	0	0	0	32.821	1.58	17.36	0.188484	0.11715	-0.180536
3728	0	0	0	31.608	1.522	16.589	0.220092	0.118672	-0.163947
3729	0	0	0	43.402	2.089	24.973	0.263494	0.120761	-0.138974
3730	0	0	0	44.119	1.073	29.071	0.307613	0.121834	-0.109903
3731	0	0	0	42.684	0.968	27.14	0.350297	0.122802	-0.082763
3732	0	0	0	41.865	-1.279	28.257	0.392162	0.121523	-0.054506
3733	0	0	0	34.611	-1.707	24.602	0.426773	0.119816	-0.029904
3734	0	0	0	39.403	-3.817	27.53	0.466176	0.115999	-0.002374
3735	0	0	0	30.672	-5.463	23.64	0.496848	0.110536	0.021266
3736	0	0	0	27.927	-5.717	21.028	0.524775	0.104819	0.042294
3737	0	0	0	31.792	-8.024	19.974	0.556567	0.096795	0.062268
3738	0	0	0	36.149	-5.759	18.929	0.592716	0.091036	0.081197
3739	0	0	0	47.188	-5.61	19.823	0.639904	0.085426	0.10102
3740	0	0	0	43.236	-3.539	15.419	0.68314	0.081887	0.116439
3741	0	0	0	35.837	-3.876	7.907	0.718977	0.078011	0.124346
3742	0	0	0	29.509	-4.149	3.019	0.748486	0.073862	0.127365
3743	0	0	0	19.379	-3.24	5.576	0.767865	0.070622	0.132941
3744	0	0	0	9.707	-5.99	6.845	0.777572	0.064632	0.139786
3745	0	0	0	4.692	-7.37	6.548	0.782264	0.057262	0.146334
3746	0	0	0	1.735	-4.951	2.386	0.783999	0.052311	0.14872
3747	0	0	0	0.062	-3.736	0	0.784061	0.048575	0.14872
3748	0	0	0	-0.756	-0.012	0.042	0.783305	0.048563	0.148762
3749	0	0	0	-1.513	-0.024	0.082	0.781792	0.048539	0.148844
3750	0	0	0	-4.29	1.174	-1.62	0.777502	0.049713	0.147224
3751	0	0	0	-11.711	3.522	-9.824	0.765791	0.053235	0.1374
3752	0	0	0	-10.876	7.211	-11.646	0.754915	0.060446	0.125754
3753	0	0	0	-9.792	9.643	-9.806	0.745123	0.070089	0.115948
