time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
1616	0.25829	-0.550973	0.789614	-3.619	-1.584	5.33	-0.030876	-0.151346	0.118154
1617	0.302233	-0.542825	0.919458	-6.739	0.46	7.407	-0.037615	-0.150886	0.125561
1618	-0.497976	0.154488	0.992252	-6.548	5.902	-1.226	-0.044163	-0.144984	0.124335
1619	-0.732037	0.315206	1.135704	-7.845	8.664	-4.699	-0.052008	-0.13632	0.119636
1620	-0.770491	0.254724	1.262596	-6.997	-0.467	5.558	-0.059005	-0.136787	0.125194
1621	-0.680016	0.156386	1.378621	-6.35	-5.001	10.378	-0.065355	-0.141788	0.135572
1622	-0.369385	-0.682257	1.577048	-1.023	-3.532	4.543	-0.066378	-0.14532	0.140115
1623	-0.321027	-0.620195	1.567103	0.482	-1.832	0.4	-0.065896	-0.147152	0.140515
1624	0.181315	-0.695596	1.497552	2.465	-1.068	-4.236	-0.063431	-0.14822	0.136279
1625	0.178345	-0.608445	1.45714	1.984	-0.134	-3.753	-0.061447	-0.148354	0.132526
1626	0.127398	-0.543104	1.5174	-2.982	2.904	-3.776	-0.064429	-0.14545	0.12875
1627	0.043896	-0.472684	1.659291	-6.97	4.952	-4.755	-0.071399	-0.140498	0.123995
1628	-0.069245	-0.381544	1.848395	-9.327	6.857	-6.284	-0.080726	-0.133641	0.117711
1629	-0.20292	-0.290491	2.038418	-9.337	7.69	-6.22	-0.090063	-0.125951	0.111491
1630	-0.315595	-0.230931	2.203506	-8.143	6.674	-4.514	-0.098206	-0.119277	0.106977
1631	-0.382251	-0.192115	2.287064	-4.107	3.763	-2.678	-0.102313	-0.115514	0.104299
1632	-0.396742	-0.193778	2.321805	-1.714	0.975	-0.27	-0.104027	-0.114539	0.104029
1633	-0.374953	-0.213795	2.356919	-1.726	-0.79	0.604	-0.105753	-0.115329	0.104633
1634	-0.370458	-0.258457	2.412926	-2.745	0.148	1.587	-0.108498	-0.115181	0.10622
1635	-0.342434	-0.317967	2.516578	-5.094	-0.604	1.805	-0.113592	-0.115785	0.108025
1636	-0.328289	-0.350463	2.682353	-8.14	0.443	-0.095	-0.121732	-0.115342	0.10793
1637	-0.308192	-0.326693	2.902048	-10.798	0.586	-3.313	-0.13253	-0.114756	0.104617
1638	-0.290142	-0.281156	3.10015	-9.757	0.53	-4.242	-0.142287	-0.114226	0.100375
1639	-0.27409	-0.227306	3.275675	-8.628	0.469	-4.313	-0.150915	-0.113757	0.096062
1640	-0.26186	-0.22593	3.409702	-6.602	0.359	-1.471	-0.157517	-0.113398	0.094591
1641	-0.250884	-0.245981	3.529726	-5.901	0.32	-0.244	-0.163418	-0.113078	0.094347
1642	-0.243229	-0.310425	3.621117	-4.482	0.244	2.184	-0.1679	-0.112834	0.096531
1643	-0.25611	-0.355129	3.676809	-2.738	1.004	1.573	-0.170638	-0.11183	0.098104
1644	-0.245418	-0.374782	3.797384	-5.919	0.319	-0.242	-0.176557	-0.111511	0.097862
1645	-0.249642	-0.350494	3.946137	-7.312	1.244	-2.639	-0.183869	-0.110267	0.095223
1646	-0.26026	-0.285188	4.209316	-12.957	2.382	-5.814	-0.196826	-0.107885	0.089409
1647	-0.301035	-0.167638	4.527644	-15.649	4.176	-8.778	-0.212475	-0.103709	0.080631
1648	-0.352303	-0.043339	4.885166	-17.62	5.052	-9.638	-0.230095	-0.098657	0.070993
1649	-0.443985	0.028715	5.188103	-14.894	6.498	-6.466	-0.244989	-0.092159	0.064527
1650	-0.550119	0.093355	5.47859	-14.303	7.203	-6.011	-0.259292	-0.084956	0.058516
1651	-0.623461	0.134826	5.757218	-13.7	5.459	-4.768	-0.272992	-0.079497	0.053748
1652	-0.646353	0.165421	6.012427	-12.559	2.927	-4.035	-0.285551	-0.07657	0.049713
1653	-0.626096	0.142496	6.200008	-9.224	0.361	-0.789	-0.294775	-0.076209	0.048924
1654	-0.609176	0.067321	6.368552	-8.272	0.323	1.923	-0.303047	-0.075886	0.050847
1655	-0.591976	0.019996	6.528125	-7.846	0.307	0.655	-0.310893	-0.075579	0.051502
1656	-0.57173	0.043906	6.72321	-9.59	0.375	-3.105	-0.320483	-0.075204	0.048397
1657	-0.536068	0.118973	7.054414	-16.285	0.636	-6.895	-0.336768	-0.074568	0.041502
